"Gebieden in Nederland 2015"
""
"";"Onderwerp"
"";"||Code";"Naam";"Sortering naam";"|||Code";"||Omschrijving";"|||Code";"||Omschrijving"
"Regio's";"code";"naam";"naam";"code";"omschrijving";"code";"omschrijving"
"Losser";"GM0168";"Losser";"Losser";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Maasdriel";"GM0263";"Maasdriel";"Maasdriel";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Maasgouw";"GM1641";"Maasgouw";"Maasgouw";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Maassluis";"GM0556";"Maassluis";"Maassluis";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Maastricht";"GM0935";"Maastricht";"Maastricht";"6";"100000tot150000inwoners";"2";"Sterkstedelijk"
"De Marne";"GM1663";"DeMarne";"MarneDe";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Marum";"GM0025";"Marum";"Marum";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Medemblik";"GM0420";"Medemblik";"Medemblik";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Meerssen";"GM0938";"Meerssen";"Meerssen";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Menameradiel";"GM1908";"Menameradiel";"Menameradiel";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Menterwolde";"GM1987";"Menterwolde";"Menterwolde";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Meppel";"GM0119";"Meppel";"Meppel";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Middelburg (Z.)";"GM0687";"Middelburg";"Middelburg";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Midden-Delfland";"GM1842";"Midden-Delfland";"Midden+Delfland";"3";"10000tot20000inwoners";"3";"Matigstedelijk"
"Midden-Drenthe";"GM1731";"Midden-Drenthe";"Midden+Drenthe";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Mill en Sint Hubert";"GM0815";"MillenSintHubert";"MillenSintHubert";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Moerdijk";"GM1709";"Moerdijk";"Moerdijk";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Molenwaard";"GM1927";"Molenwaard";"Molenwaard";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Montferland";"GM1955";"Montferland";"Montferland";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Montfoort";"GM0335";"Montfoort";"Montfoort";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Mook en Middelaar";"GM0944";"MookenMiddelaar";"MookenMiddelaar";"2";"5000tot10000inwoners";"5";"Nietstedelijk"
"Muiden";"GM0424";"Muiden";"Muiden";"2";"5000tot10000inwoners";"5";"Nietstedelijk"
