"Status van bewoning;""Regio's"";""Perioden"";""Totale woningvoorraad (aantal)"";""Koopwoningen (aantal)"";""Huurwoningen/Totaal huurwoningen (aantal)"";""Huurwoningen/Eigendom woningcorporatie (aantal)"";""Huurwoningen/Eigendom overige verhuurders (aantal)"";""Eigendom onbekend (aantal)"""
"Totaal;""Zuidoost-Zuid-Holland (CR)"";""2012"";170971;98034;71607;57444;14163;1330"
"Totaal;""Zuidoost-Zuid-Holland (CR)"";""2013"";171897;98676;72344;57769;14575;877"
"Totaal;""Zuidoost-Zuid-Holland (CR)"";""2014"";172968;99510;72462;57185;15277;996"
"Totaal;""Zuidoost-Zuid-Holland (CR)"";""2015"";173317;100313;71932;56962;14970;1072"
"Totaal;""Zuidoost-Zuid-Holland (CR)"";""2016"";174566;101306;72117;56513;15604;1143"
"Totaal;""Zuidoost-Zuid-Holland (CR)"";""2017"";175446;102033;72260;56146;16114;1153"
"Totaal;""Zuidoost-Zuid-Holland (CR)"";""2018"";176282;103972;71091;55809;15282;1219"
"Totaal;""Zuidoost-Zuid-Holland (CR)"";""2019"";162472;97199;64893;51088;13805;380"
"Totaal;""Zuidoost-Zuid-Holland (CR)"";""2020"";163644;98047;65282;50593;14689;315"
"Totaal;""Zeeuwsch-Vlaanderen (CR)"";""2012"";54770;37843;16716;10411;6305;211"
"Totaal;""Zeeuwsch-Vlaanderen (CR)"";""2013"";52759;36635;15981;10419;5562;143"
"Totaal;""Zeeuwsch-Vlaanderen (CR)"";""2014"";53376;36316;16582;10409;6173;478"
"Totaal;""Zeeuwsch-Vlaanderen (CR)"";""2015"";53523;36537;16529;10376;6153;457"
"Totaal;""Zeeuwsch-Vlaanderen (CR)"";""2016"";53998;36633;16591;10369;6222;774"
"Totaal;""Zeeuwsch-Vlaanderen (CR)"";""2017"";54029;36472;16857;10345;6512;700"
"Totaal;""Zeeuwsch-Vlaanderen (CR)"";""2018"";54156;36932;16516;10315;6201;708"
"Totaal;""Zeeuwsch-Vlaanderen (CR)"";""2019"";54610;37783;15426;10173;5253;1401"
"Totaal;""Zeeuwsch-Vlaanderen (CR)"";""2020"";54753;37633;15384;10107;5277;1736"
