"Perioden;""Regio van vestiging"";""Regio van vertrek"";""Tussen gemeenten verhuisde personen (aantal)"""
"2011;""Oost-Groningen (CR)"";""Midden-Noord-Brabant (CR)"";17"
"2012;""Oost-Groningen (CR)"";""Midden-Noord-Brabant (CR)"";40"
"2013;""Oost-Groningen (CR)"";""Midden-Noord-Brabant (CR)"";15"
"2014;""Oost-Groningen (CR)"";""Midden-Noord-Brabant (CR)"";11"
"2015;""Oost-Groningen (CR)"";""Midden-Noord-Brabant (CR)"";29"
"2016;""Oost-Groningen (CR)"";""Midden-Noord-Brabant (CR)"";44"
"2017;""Oost-Groningen (CR)"";""Midden-Noord-Brabant (CR)"";11"
"2018;""Oost-Groningen (CR)"";""Midden-Noord-Brabant (CR)"";19"
"2019;""Oost-Groningen (CR)"";""Midden-Noord-Brabant (CR)"";29"
"2020;""Oost-Groningen (CR)"";""Midden-Noord-Brabant (CR)"";37"
"2011;""Oost-Groningen (CR)"";""Noordoost-Noord-Brabant (CR)"";64"
"2012;""Oost-Groningen (CR)"";""Noordoost-Noord-Brabant (CR)"";39"
"2013;""Oost-Groningen (CR)"";""Noordoost-Noord-Brabant (CR)"";15"
"2014;""Oost-Groningen (CR)"";""Noordoost-Noord-Brabant (CR)"";25"
"2015;""Oost-Groningen (CR)"";""Noordoost-Noord-Brabant (CR)"";20"
"2016;""Oost-Groningen (CR)"";""Noordoost-Noord-Brabant (CR)"";34"
"2017;""Oost-Groningen (CR)"";""Noordoost-Noord-Brabant (CR)"";28"
