"ID;""RegioVanVestiging"";""RegioVanVertrek"";""Perioden"";""TussenGemeentenVerhuisdePersonen_1"""
"70487;""CR02  "";""CR10  "";""2018JJ00"";""      12"""
"70488;""CR02  "";""CR11  "";""2011JJ00"";""       4"""
"70489;""CR02  "";""CR11  "";""2012JJ00"";""       9"""
"70490;""CR02  "";""CR11  "";""2013JJ00"";""       7"""
"70491;""CR02  "";""CR11  "";""2014JJ00"";""       2"""
"70492;""CR02  "";""CR11  "";""2015JJ00"";""       2"""
"70493;""CR02  "";""CR11  "";""2016JJ00"";""       7"""
"70494;""CR02  "";""CR11  "";""2017JJ00"";""       4"""
"70495;""CR02  "";""CR11  "";""2018JJ00"";""       3"""
"70496;""CR02  "";""CR12  "";""2011JJ00"";""      23"""
"70497;""CR02  "";""CR12  "";""2012JJ00"";""       7"""
"70498;""CR02  "";""CR12  "";""2013JJ00"";""      14"""
"70499;""CR02  "";""CR12  "";""2014JJ00"";""      12"""
"70500;""CR02  "";""CR12  "";""2015JJ00"";""      16"""
