from_id,to_id,from,to,jobs,distance
20,35,IJmond (CR),Noordoost-Noord-Brabant (CR),0.1,119
20,37,IJmond (CR),Noord-Limburg (CR),0.1,166.1
20,39,IJmond (CR),Zuid-Limburg (CR),0.1,212.3
21,3,Agglomeratie Haarlem (CR),Overig Groningen (CR),0.1,192.6
21,9,Agglomeratie Haarlem (CR),Zuidwest-Drenthe (CR),0.1,140.6
21,12,Agglomeratie Haarlem (CR),Twente (CR),0.1,164.6
21,16,Agglomeratie Haarlem (CR),Zuidwest-Gelderland (CR),0.1,83.8
21,39,Agglomeratie Haarlem (CR),Zuid-Limburg (CR),0.1,210.6
22,10,Zaanstreek (CR),Noord-Overijssel (CR),0.1,112.1
22,12,Zaanstreek (CR),Twente (CR),0.1,150
22,16,Zaanstreek (CR),Zuidwest-Gelderland (CR),0.1,83.8
22,27,Zaanstreek (CR),Delft en Westland (CR),0.1,69.7
22,30,Zaanstreek (CR),Zuidoost-Zuid-Holland (CR),0.1,88.5
22,33,Zaanstreek (CR),West-Noord-Brabant (CR),0.1,118.9
22,35,Zaanstreek (CR),Noordoost-Noord-Brabant (CR),0.1,106.7
22,37,Zaanstreek (CR),Noord-Limburg (CR),0.1,152.8
23,6,Groot-Amsterdam (CR),Zuidoost-Friesland (CR),0.1,132.3
23,8,Groot-Amsterdam (CR),Zuidoost-Drenthe (CR),0.1,166.1
23,31,Groot-Amsterdam (CR),Zeeuwsch-Vlaanderen (CR),0.1,188.8
24,3,Het Gooi en Vechtstreek (CR),Overig Groningen (CR),0.1,162.2
24,4,Het Gooi en Vechtstreek (CR),Noord-Friesland (CR),0.1,143.9
24,11,Het Gooi en Vechtstreek (CR),Zuidwest-Overijssel (CR),0.1,78.5
24,27,Het Gooi en Vechtstreek (CR),Delft en Westland (CR),0.1,75.9
24,39,Het Gooi en Vechtstreek (CR),Zuid-Limburg (CR),0.1,184
25,3,Agglomeratie Leiden en Bollenstreek (CR),Overig Groningen (CR),0.1,207.8
25,4,Agglomeratie Leiden en Bollenstreek (CR),Noord-Friesland (CR),0.1,172.4
25,10,Agglomeratie Leiden en Bollenstreek (CR),Noord-Overijssel (CR),0.1,135.9
25,11,Agglomeratie Leiden en Bollenstreek (CR),Zuidwest-Overijssel (CR),0.1,131.6
25,12,Agglomeratie Leiden en Bollenstreek (CR),Twente (CR),0.1,171.6
25,14,Agglomeratie Leiden en Bollenstreek (CR),Achterhoek (CR),0.1,143.7
